ИНН,Организация
7686030381,"ООО ""МеталлФотоТехнологии"""
7686026307,"ООО ""МФТ"""
6761075422,МБДОУ - детский сад № 469
7670391705,"ООО ""Русский Экспресс-Урал"""
6759112934,Алещенко Магдалена Васильевна
767004310586,"ГБУЗ СО ""Верхнепышминская ЦГБ им. П.Д. Бородина"""
7670343117,"ООО ""САЙНСТРОЙ"""
6758415527,Алиев Назим Али_Оглы
6758348817,"ООО ""Медицинская клиника ""Парацельс"""
7660132195,"ООО ""Рузи"""
7671226864,"ООО ""ПФ ""ФУрал"""
660601760226,Алиева Алмаз Алиевна
6606003441,"МАОУ ДПОС ЦПК ""ОХРАНА ТРУДА"""
7687070071,"ООО ""ВоенЭкоСан"""
675800511640,"ООО ""БАРС"""
6758174720,"ООО ""БирЛайт"""
6758236944,"ООО ""Делфин Профи"""
7674374028,"ЗАО ""СИСТЕМА-ПРОФИ"""
675800402048,"ООО ""Полигрес"""
7633021129,"ООО ""ЮНАТ"""
7674329554,Аловхонов Собирхон Азамхонович
7671456321,"ООО ""Мистер Климат"""
7687034351,"ООО ""Экспресс Профи"""
7670176482,Алферов Аристофан Витальевич
7671255706,"ЗАО ""Союз-ТМ"""
7674147032,"ГАОУ СО ""Дворец молодежи"""
7678009354,Алферова Алевтина Степановна
762706997410,"МКУ ""Учреждение по предоставлению компенсаций и субсидий на опла"
7674375247,"ЗАО ""Эдвансед Екатеринбург"""
6759155818,"ООО ""РСК"""
676400101721,"ООО ""АБРИКОС"""
7687000747,"ООО ""ЧОО ""Турмалин"""
6758021258,Управление социальной политики по Чкаловскому району г. Екатерин
675800045340,"ОАО ""УСГИК"""
7646017264,"ООО ""Атланткосметик"""
7660142203,"ООО ""Атланттекс"""
7673191381,Амеженко Алексей Леонидович
6759085286,"ООО ""ПолиПроф"""
6759138080,"НП ""В кругу семьи"" на Урале"
6764034329,"ФГКУ ""1026 ЦГСЭН"" МО РФ"
6758441615,"ООО ""ВИЛА"""
7679000731,"ООО ""РЕГИОНТАКСИ"""
7679000724,"ООО ""УЗПМ"""
660901009518,"ООО ""ЭкоДЕПО"""
6759176430,"ООО ""Уралгазниксер"""
7674367006,ФГБУЗ МСЧ № 70 - УЦПП им. Ю.А. Брусницына ФМБА России
6761014571,"ООО ""Светол"""
7670411470,"ООО ""Японча"""
6758437714,Ананьев Андрей Юрьевич
7678001179,"ООО ""Красная Хата"""
7670060951,"ООО ""Труфальдино"""
6762117594,"ООО ""ТРУБНАЯ КОМПАНИЯ АЛЬСКОМ"""
7670209746,МКДОУ детский сад № 15
6764059270,"ООО ""Ай Ти Продакшн"""
7670257203,"ООО ""Стоматологический салон ""Степан А"""
676200435406,"ООО ""СТ ИНЖИНИРИНГ"""
7670257012,"СРО ОрОО ""МедиаСоюз"""
7670255100,"ООО ""Свердловское агентство политической информации"""
7679047176,"ООО ""Департамент ЖКХ"""
7646013679,Андруев Руслан Викторович
7670307736,"ООО ""Лаборатория Бетона"""
6759175290,"ОАО ""Теплоэнергосервис"""
6604026041,"ООО ""УРАЛПРИНТ"""
7678043154,Андруев Степан Георгевич
7671138537,"ООО ""Новое Агентство"""
6762106730,"ООО ""ОКТАВА"""
7646016207,"ООО ""Полевской Проект"""
560708429021,"ООО ""ОЛИМП XXI"""
7670406487,"ООО ""Горные инструменты"""
6752013162,Андруева Валентина Ивановна
7670176475,"ООО ""Каскад"""
767008757209,"ООО ""Кольцово Капитал"""
7671113162,«Запсибкомбанк» ОАО
7671394019,Андруева Надежда Юрьевна
7626015808,"ООО ""ТМ-Системы"""
6758273061,"ЗАО ""Уралкабель"""
7674324891,"""Запсибкомбанк"" ОАО"
676100038370,Аристофанченко Наталия Михайловна
6758214683,"ООО ""УЛК-МАШСЕРВИС"""
7672332537,"ООО ""Керамик-Принт"""
7202021856,МКДОУ №1
561403336769,Султанова Изольда Юрьевна
6759115847,Андрианова Марина Юрьевна
6758004598,"ООО ""Автоцентр"""
767001041494,Андрианова Юлия Германовна
766002219499,Андриенко Степан Семенович
6763020323,"ООО ""МЕГАПОЛИС КРАСНОДАР"""
7670330693,"ООО ""НАТАЛ"""
660601205102,Андриянов Руслан Георгевич
660600093107,"ООО ""СКБ ЭЦМ"""
675907068792,"ООО ""НИЛИОО"""
7671297519,"НОУ ""Школа развития - детский сад ""Новое поколение"""
7671188224,"ООО ""ТиМ"""
660600000751,"ООО Компания ""Диагностика - СО"""
767003115938,"ООО ""Атомстройкомплекс Академический"""
2311095880,"ООО ""СВАРОГ"""
7673175566,"ООО ""АСВЭЛ"""
676307064707,"МБУ ""ДГБ №5"""
6758071361,"ООО ""Уралшина"""
7671201852,"ООО ""Электрокомплект"""
7670993605,"ООО ""Сектор КЭП"""
7671300042,"ООО ""Техносервис"""
7674135622,"ООО ""Макси-Креп"""
7687003392,"ООО ""ПСМ - СЕРВИС"""
7673214409,Аникина Анна Геннадьевна
7672312481,"""НСФПМП"""
6761014927,Аникина Алевтина Степановна
7674134107,"ООО ""Проект-Сервис"""
6758410053,"ООО ""Компания БЕЛЛА Урал"""
7673246094,"ООО ""СтройМеталл"""
7617013823,"ООО ""Уральский дом науки и техники"""
7674372762,"ООО ""АПП ""Архфонд"""
7672178780,Анисимов Вячеслав Валерьевич
675800599740,"ООО МУБ ""ФЕРТ"""
7646010893,"ООО ""ПроектХолодМаш"""
763900130972,"ООО ""Техноком-Урал"""
7670188817,"ООО ""МЕГАДЕНТА КЛИНИК ПЛЮС"""
6758249020,Анисимова Яна Ульяновна
7639021774,"ООО ""ОПТИМА"""
7671178258,"ООО ""ПКФ ""ВИРА"""
7670192531,МАОУ лицей № 159
741709780871,ЗСЦМ СП ЗСЖД ОАО РЖД
7718200520,"ООО ""ПТК ""Технотрейд"""
6759137370,"ООО ""Еллоу Винд"""
7670396341,Отдел записи актов гражданского состояния Орджоникидзевского рай
7670398349,"Общество с ограниченной ответственностью ""НЕОРУД ПОЛИМЕТАЛЛ"""
675801710528,"ООО ""ЦЕНТР ФЛОРИСТИКИ"""
7687038613,"""РИЦ"""
7679043407,"ООО ""РИЦ"""
7687028894,"ООО СК ""Профилекс"""
6761059163,"ООО ""ПИВ и Ко"""
7673230739,Антипина Милена Ульяновна
7670217010,"ООО ""УЦСБ"""
7673139208,Антипов Павел Георгевич
7687039600,"ООО ""Антей"""
7679037153,"ОАО ""УКФ"""
676301943300,"ООО ""МЕГАПОЛИС НОВОСИБИРСК"""
6758287480,Антонов Владислав Юрьевич
6761081754,"ООО ""АУРА КОМФОРТА"""
7670274304,"ООО ""Годизайн"""
7671355130,МБОУ Сеш № 131
7673103480,Антонова Мария Геннадьевна
767007144584,"ООО ""ИФауТэ Урал"""
7672237068,"ТСЖ ""11 Электриков"""
761800673146,"МБУ ""Центр муниципальных услуг"""
7672164096,"ООО ""УралТрансСервис"""
7687021475,"ООО ""ТЕХНОПАРК-АВТОМАТИЗАЦИЯ ПЕРМЬ"""
1102024468,"""Альянс"""
676101636084,"ООО ""Деловой Центр Международной Полицейской Ассоциации"""
7687037306,"ООО ""БИЗНЕС-МЕБЕЛЬ"""
5401283130,"ООО ""Планета путешествий"""
7671241125,"ООО ""Урал-Лазер"""
6764036380,"ООО ""УЦЭЭ"""
766000414494,"ООО ""Лицензия"""
7673185860,"ООО ""Стайл"""
8622000931,"МБДОУ ""Детский сад ""Сардаана"" с. Беченча муниципального образова"
7670344128,"ООО ""Квазар СК"""
7673116480,Анциферов Вячеслав Игоревич
6758374736,"ООО ""Квитан"""
7673199239,МАОУ Сеш № 44
5905281364,"ООО ""ПКФ ТДСК"""
7671323681,"ООО ""ЭКТ"""
7672215720,"ООО ""КонсалтИнвест"""
7674245640,Анчугова Магдалена Дмитриевна
7673183172,"ООО ""ТК ""ФИРМА МИР"""
6758070463,"ООО ""ХЭППИ ТУРС"""
6758077015,"ЗАО ""МЕГАМАРТ"""
6759146404,"ООО ""Интеллект"""
7672360767,"ООО ""ТД ""Инфратест"""
7678018180,"ООО ""ИКЦ Промаудит"""
767001570201,"ООО ""АРХ-Строй"""
6759132120,МКОУ Сеш с. Шокурово
675902818729,МБДОУ - детский сад № 496
6758199918,"ООО ""СК Путеец"""
6764033124,"ООО ""Медскан"""
6758384477,Аралова Милена Юрьевна
7670309814,"ООО ""АПМ Екатеринбург-проект"""
6761008786,"ГСК ""ЮГО-ЗАПАДНЫЙ"""
7670232921,"ТСЖ ""Юго-Западное"""
676100390222,Арапов Вадим Петрович
7670412579,"ООО Компания ""ЭРА"""
7670296749,"МКОУ ""Сеш им. Е.Мыруева с.Беченча"""
6758077091,"ООО ""Техно ПАРМ"""
7670203649,"ООО ""Логистический центр ""Девон"""
7673188445,Арбузова Варвара Леонидовна
7670118457,МАОУ Сеш № 67 с углубленным изучением отдельных предметов
7670200937,"ООО ""ПФ ""АВТОСНАБ"""
7646008414,"Первичная профсоюзная организация ОАО ""УКЗ"" профсоюза машиностро"
6761075430,"ООО ""Пенетрон-Экспорт"""
6606033767,"ООО ""Салон Красоты"""
7673191790,"ООО ""УралЭкспорт"""
5402518987,"ООО ""Новомед-Восток"""
676304272178,"ГАУЗ СО ""ОСЦМР ""Озеро Чусовское"""
7660063262,МАОУ - гимназия №13
6758079025,Арзамасцева Мария Алексеевна
7671184283,Арзяева Лилия Федоровна
766000192675,"ООО ""ФЕРМА-ПЛЮС"""
7686006981,"ООО ""Средуралэлектромонтаж"""
1414009715,"ООО ""Магистраль"""
6764079440,"ООО ""Все цвета белого"""
7671243274,Аристова Магдалена Степановна
570206204444,"ГБОУ СПО СО ""ЕХМТ"""
6763056457,МБДОУ - детский сад комбинированного вида № 510
7678035178,"ООО ""ГК ""УРАЛ"""
6762071100,"ООО ""Урал"""
7672191131,Арсенова Алевтина Геннадьевна
7687014203,"ООО ""Техстрой"""
6758302097,"ООО ""Тройская унция"""
5407016973,"Общество с ограниченной ответственностью ""Мастерица"""
6758342646,МБВСОУ ЦО № 224
6759039089,"ООО ""АРТ"""
6762058821,"ООО ""МСС"""
766000747524,"ТСЖ ""Пехотинцев, 3/2"""
660400456240,"МБДОУ - детский сад комбинированного вида ""Надежда"""
7678034079,"ООО ЧОО ""ОХРАНА"""
6759099458,"ООО ""МЕТАЛЛ ИМПЕРИАЛ"""
7660060938,"ООО ""ПЗСК"""
7671186844,"ООО ""БЛИЦ-АИР"" сервис"
767406491970,"ООО ""БЛИЦ-АИР"""
6764007269,"Общество с ограниченной ответственностью ""РОМАШКА"""
6758078254,"ООО ""Консул"""
7671435924,"ООО ""Р-Лайн Екатеринбург"""
6759073629,"ООО ""Лилия"""
861701555100,"ООО ""ЦБУ"""
7670327161,"ФКУЗ ""МСЧ-66 ФСИН РОССИИ"""
7670088040,"ООО ""ИТ сетера"""
6759010322,"ТСЖ ""Мирный"""
6763057520,"ООО ""ЕвроОкно Стандарт Екатеринбург"""
7679024838,"ООО""ИВЦ ПМ"""
7670200373,"ООО ""АльфаПроф"""
7670242479,"ООО ПТФ ""Подшипник"""
6759157526,"ООО ""М-ЭКСПРЕСС"""
6763053819,Администрация Ленинского района города Екатеринбурга
3762176204,"ООО ""Строительная компания ""Новый Век"""
7686033431,Архипов Геннадий Андруевич
7686024074,Архипов Павел Аристархович
7670279380,"ТСЖ ""БЛЮХЕРА 43"""
7660074169,"МАДОУ ЦРР - детский сад № 152 ""Аистенок"""
7680002814,"ООО""КОНСЕЛЛЕНС"""
7670264793,"ООО ""Уралгранитресурс"""
6759173239,ДТЗН СВЕРДЛОВСКОЙ ОБЛАСТИ
6763008358,Арюков Емельян Игоревич
6758256470,УИЭУиП
7610001302,Асаинов Андрей Викторович
6606007397,Асатрян Ашот Степанович
7670017233,"ООО ""Ваш новый дом"""
7678012893,"ООО ""Высокие Информационные Технологии"""
6758272701,"ООО ""Интерком"""
7674320713,"ООО ""Абсолют"""
7671179011,"ООО ""Ветеран"""
6758213190,"ООО ""Урал-Пресс Регион"""
6761001420,"ООО ""Урал-Пресс Округ"""
6759178244,"ООО ""Урал-Пресс Город"""
767006751510,"ООО ""НавиТех"""
767009345984,МБОУ Сеш № 61
7670101460,"ООО ""ВК ""АльпСтройКомплекс"""
6758075745,"ООО ""ПСП-ГРОУП"""
7671320070,"ООО ""ФЛОРА-ТУРС АВИА-ЖД ПЕРЕВОЗКИ"""
7674369162,"ООО ""АСВ"""
7671210783,"ОАО ""Трест УТСС"""
675899163981,"ООО ""Наумен софт"""
7660004161,"ООО Компания ""Славяне и К"""
590308338266,"ООО ""НПО ""ПЛАЗМА-НТ"""
767409455893,"ООО ""НПО ""Плазма НТ"""
7684007281,"ООО ""МЕТКОМ-Консалтинг"""
7670109452,"ООО ""Атласпро"""
7670237944,"ООО ""ДТ- Урал"""
7671300130,"ООО ""Главсказка Интернешнл"""
6761007856,"ООО ""Гранд Авеню Отель"""
7670177621,"ООО ""Водолей"""
7672276071,"ООО ""ТоргАльянс"""
7672276064,Афтандилян Рудик Рафикович
7670254185,"ООО ""Тяжмалпром"""
6764034752,"ОАО ""Уральский завод РТИ"""
6758229753,"ООО ПТК ""ПрофГАЗ"""
7679024637,Ахматшина Маша уковлевна
7673143571,"ООО ""Союз Инвест"""
7686070469,Ахметгаруев Фаниль Фаизович
6758342734,"ООО ""Новый фасад"""
7660001058,"ООО ""ДАЛОС"""
7672327537,"ООО ""Респект"""
767356280090,"ООО ""ПКП ""ВОСТОК"""
7670121523,"ООО ""БАЛАНС"""
6758199178,"ООО ""Компания ""УПТ"""
6606016095,"ГБУ СОН СО ""ЦСПСиД Чкаловского района города Екатеринбурга"""
6762077101,Ахметханов Ринат Галиханович
7623070913,"НП ""Элитарный Клуб корпоративного поведения"""
7648010641,СРО НП ПУФРУР
7727752895,"ООО ""ТРИАНН"""
7671239461,"ООО ""КАРЬЕР"""
7674319299,"ООО ""Озеро"""
7672231828,"ООО ""АВТОГРАД"""
7687011724,"ООО ""Компания ""ТГМ-сервис"""
7671286870,"ООО ""САЗ"""
7673131061,"ЗАО ""Урал-ТрансТелеКом"""
675802039704,"ЗАО ""Росэнергосервис"""
7708170856,Ашихмина Яна Валерьевна
6764002570,"ООО ""АВНавто"""
7670278387,"ООО НПП ""УТП"""
762702184942,"ООО ""Сервисцентр"""
7673247203,"ОАО ""Корпорация ВСМПО-АВИСМА"""
675908289006,"ООО ""АТП № 1"""
6758101513,"ООО ""Кометкон - Информ"""
7686007621,"ООО ""Энион"""
6758206019,"ООО""КЗМП"""
7674319838,"ООО ""БЖБК"""
7686016267,"ООО ""Деловой Квартал"""
7679005810,"ООО ""Приоритет"""
6764046814,ОАО Банк ЗЕНИТ
660403377593,Бабийчук Алексей Петрович
7672137063,"ООО ""Союз-Канц"""
6759098703,"ООО ""Алиот-М"""
7673099481,Бабин Павел Аристархович
7686034280,"ООО ""ФЕНИКС ТС"""
7672352163,"ООО Концерн ""КАЛИНА"""
6604018241,"ООО ""ВПИ"""
7670376923,"ООО ""РПТ"""
6604028105,"ООО ""АУиП"""
7660017629,"ООО ""КомТРОН"""
7670261016,МАОУ Сеш № 167
762604927163,"ООО ""АТОМ"""
6759047996,"ООО ""ЯРМАРКА ПЛЮС"""
7674380744,"ГБОУ СПО СО ""ТИПУ ""Кулинар"""
6758252880,"ООО ""Стройспецремонт"""
7671122209,"ООО ""Эллан"""
6607000556,"ООО ""Мирослава"""
7630010947,"ООО ""ТД ""Продукты-24"""
7674191360,"ООО ТД ""Урал"""
6761094217,"ООО ""ТБЦ ""Орджоникидзевский"""
7613005457,"ООО ""БИЗНЕС - КЛИНИНГ ПЛЮС"""
7679010095,"ООО ""ПКФ ""Рубин"""
7679011010,ООО «Газпром трансгаз Югорск»
7670388478,"ООО ""Палле"""
7679022005,"ООО ТД ""Уралреконструкция"""
7729405872,"ООО ""ЖКС УМПС"""
676200001053,"ООО ""ЕКАТЕЛ"""
7671307432,"ООО ""Уральский Вкус"""
7671329355,"ООО ""БАМАШ-тур"""
7673252387,"ЗАО НПП ""Теплотехнология"""
764800002471,Багдасарян Маис Арцвикович
7617012820,"ЗАО ""ЕФ ""ПРОМТЕКСТИЛЬ"""
7687018127,"ООО ""Ресторация"""
6758386072,"ООО ""Кафе ЮСТА"""
6758397270,"ООО ""Профстрой"""
7671125930,"МБУК ""ОРКМ"""
7672259781,"ГУП СО ""Облкоммунэнерго"""
6763057387,"ЖСПК ""АКАДЕМИЧЕСКИЙ-ЮГ"""
7686049449,"ГАУК СО ""Свердловский государственный академический театр драмы"""
7686049840,"ООО ""ТЕХНОСИНТЕЗ"""
767320908511,"ООО ""ТТД"""
7660008078,ФГКУ УВО ГУ МВД России по Свердловской области
6606005880,"ООО ""Комета"""
6763052332,"ООО ""СК МЕД"""
6763001842,"ООО ""СМУ УралДомнаРемонт"""
7673147199,"ООО ""ЦВМ"""
7673094155,"ООО ""Митра"""
7673144279,"ОАО ""ВНИИГЕОФИЗИКА"""
7633020157,"ООО ""ВТС"""
7670263630,"ТСЖ ""Белинка 32"""
7687009524,"ООО ""Спортакадемразвитие"""
6758247701,"ООО ""Промко-ЕК"""
8904036911,"ООО ""МИТАСУ УРАЛ"""
6758362829,Баженова Евгения Николаевна
7674370094,Баженова Изольда Варламовна
7673102430,"ООО ""Тамерлан"""
7678019602,"ООО ""Альфамед"""
7660137147,"ООО ""Энергетические решения"""
676100087473,"ООО ""Энергоконсалт"""
6762105380,"ООО ""Уралтрейд"""
7672303180,"МБДОУ - детский сад № 546 ""Семицветик"""
7672275960,Базеров Степан Леонидович
6759097577,Базерова Анастасия Валентиновна
8614006048,"ООО ""Янтарь-97"""
6761101471,"ООО ""Корк стиль"""
6758449526,Базикуева Мария Валерьевна
6758013352,"ООО ""МГМ-Инжиниринг"""
6763012749,"ЗАО ""СвердНИИхиммаш-СКБ"""
7734249322,"ООО ""ОптимРесурс"""
7671397556,"ООО ""Скорпион"""
6758325859,"ООО ""МАМА МИА-ЕКБ"""
6758234295,ЗАО ПФ СКБ Контур
6759121304,"ЗАО ""УралавтоГАЗсервис"""
7671199787,"ООО ""РБТ"""
7673207528,"ООО ""УТПК"""
7708802773,"ООО ""Неман"""
7673227528,Байков Емельян Викторович
7687004371,"ПТК ""ЖЭК 45"""
7672214861,"ООО ""Гифас-М"""
6759072047,"ООО ""АРНИ"""
7670345788,"ООО ""КУРССТАЛЬ"""
6758424296,"МБУЗ ""Октябрьская ЦРБ"""
7678015566,"ООО ""Поток"""
860208110098,"ОАО ""ФАНКОМ"""
675900047761,"ООО ""Теплострой"""
6758408914,"ООО ""Тепло-Центр"""
